restaurant_name,rating,average_price,average_delivery_time,south_indian_or_not,north_indian_or_not,fast_food_or_not,street_food,biryani_or_not,bakery_or_not,location,norm_rating,norm_price,norm_delivery_time,Score
# Momo,4.2,200,34,0,0,0,0,0,0,Durgapur,0.72,0.759493670886076,0.8478260869565217,0.7662465602641717
#99,4.1,100,31,0,0,0,0,0,0,Bareilly,0.6799999999999997,0.8860759493670886,0.8641304347826086,0.7764543203082002
#BBQ,3.6,200,57,0,0,1,0,0,0,Mangalore,0.48,0.759493670886076,0.7228260869565217,0.6087465602641717
#Dilliwaala6,3.7,100,38,0,1,0,1,0,0,Puducherry,0.52,0.8860759493670886,0.8260869565217391,0.6850412768299394
#FlyFree,4.0,200,26,0,0,1,0,0,0,Ajmer,0.6399999999999999,0.759493670886076,0.8913043478260869,0.7392900385250413
#Foodiz,3.5,100,23,0,1,1,0,0,0,Udaipur,0.43999999999999995,0.8860759493670886,0.907608695652174,0.6694977985690699
#Hashtag Momos,4.3,300,25,0,0,1,0,0,0,Jaipur,0.7599999999999998,0.6329113924050633,0.8967391304347826,0.7756040176114474
#PB Patiala Bites,4.0,350,47,0,1,1,0,0,0,Udaipur,0.6399999999999999,0.5696202531645569,0.7771739130434783,0.6670762245459547
'@ Pizza,4.0,200,71,0,0,0,0,0,0,Kolkata,0.6399999999999999,0.759493670886076,0.6467391304347826,0.6659204733076499
'@ Spirants Chai,4.2,150,24,0,0,0,0,0,0,Gaya,0.72,0.8227848101265822,0.9021739130434783,0.79520913593836
'@69 Food Zone,3.7,200,35,0,1,0,0,0,0,Kolkata,0.52,0.759493670886076,0.8423913043478262,0.6646161254815631
0265 Burgers & Pizzas,4.5,150,24,0,0,1,0,0,0,Vadodara,0.8399999999999999,0.8227848101265822,0.9021739130434783,0.8552091359383598
0612 Road Chef Online,4.2,250,35,0,1,0,0,1,0,Patna,0.72,0.6962025316455696,0.8423913043478262,0.7519578976334617
07 Bakery,2.7,150,23,0,0,0,0,0,1,Kota,0.1200000000000001,0.8227848101265822,0.907608695652174,0.4968395707209687
1 Bake Shop,4.0,100,38,0,0,1,0,0,1,Bhubaneswar,0.6399999999999999,0.8860759493670886,0.8260869565217391,0.7450412768299395
1 Bake Shop,4.1,100,24,0,0,1,0,0,1,Cuttack,0.6799999999999997,0.8860759493670886,0.9021739130434783,0.787867363786461
10 Downing Street,4.3,150,24,0,1,0,0,0,0,Vijayawada,0.7599999999999998,0.8227848101265822,0.9021739130434783,0.8152091359383598
10 Dur's,4.1,200,20,0,1,0,0,0,0,Ludhiana,0.6799999999999997,0.759493670886076,0.9239130434782609,0.7690726472206934
10 Hour's Family Restaurant,3.8,200,32,0,1,1,0,1,0,Patna,0.5599999999999998,0.759493670886076,0.8586956521739131,0.6895074298293891
10 Muffins,4.4,600,37,0,0,0,0,0,0,Chennai,0.8,0.2531645569620252,0.8315217391304348,0.7000894331315355
10 Park Street Cafe & Kitchen,4.2,300,34,0,1,0,0,0,0,Gorakhpur,0.72,0.6329113924050633,0.8478260869565217,0.7409301045679691
10 To 10 Restaurants & Party Hall,3.0,100,26,1,1,0,0,0,0,Patna,0.24,0.8860759493670886,0.8913043478260869,0.5646064942212438
100 Foodies,3.8,100,27,0,0,1,1,0,0,Kota,0.5599999999999998,0.8860759493670886,0.8858695652173914,0.722976059438635
1000 BC,3.6,150,51,0,1,0,0,0,0,Kolkata,0.48,0.8227848101265822,0.7554347826086957,0.6311873968079251
100N,4.1,50,55,0,0,1,0,0,0,Hyderabad,0.6799999999999997,0.9493670886075949,0.7336956521739131,0.7499821133736928
11 July Fine Dine Restaurant,3.8,150,39,0,1,0,0,0,0,Guwahati,0.5599999999999998,0.8227848101265822,0.8206521739130435,0.6907526141992294
11 Spices Multi Cusine Restaurant,3.5,150,49,0,0,0,0,1,0,Hyderabad,0.43999999999999995,0.8227848101265822,0.7663043478260869,0.6144482663731425
11 Star Cakes,3.7,100,27,0,0,0,0,0,1,Meerut,0.52,0.8860759493670886,0.8858695652173914,0.7029760594386352
11-11 Flash Back,4.2,150,25,0,0,0,0,0,0,Salem,0.72,0.8227848101265822,0.8967391304347826,0.7935787011557511
11-11 The Food Station,4.1,100,28,0,0,1,0,0,0,Salem,0.6799999999999997,0.8860759493670886,0.8804347826086957,0.7813456246560262
11th Avenue Cafe Bistro,3.7,400,48,0,0,0,0,0,0,Guwahati,0.52,0.5063291139240507,0.7717391304347826,0.592787561915245
11th Avenue Cafe Bistro,4.0,150,53,0,0,1,0,0,0,Guwahati,0.6399999999999999,0.8227848101265822,0.7445652173913043,0.7079265272427077
11To11,4.4,100,25,0,0,1,0,0,0,Salem,0.8,0.8860759493670886,0.8967391304347826,0.8462369290038525
1211 Pizza Point,4.0,150,45,0,0,1,0,0,0,Lucknow,0.6399999999999999,0.8227848101265822,0.7880434782608696,0.7209700055035773
12-3 AM Biryani,3.1,200,28,0,1,1,1,0,0,Vijayawada,0.28,0.759493670886076,0.8804347826086957,0.5560291689598239
13 Shawarma,4.0,150,30,0,0,1,0,0,0,Mumbai,0.6399999999999999,0.8227848101265822,0.8695652173913043,0.7454265272427076
143 Cake House,3.8,100,28,0,0,0,0,0,1,Jalandhar,0.5599999999999998,0.8860759493670886,0.8804347826086957,0.7213456246560264
1441 Pizzeria,3.8,100,39,0,0,0,0,0,0,Surat,0.5599999999999998,0.8860759493670886,0.8206521739130435,0.7034108420473306
